Reference area,TIME_PERIOD,OBS_VALUE,Sex.1
Czechia,2019,11.7,Total
Czechia,2019,12.6,Total
Czechia,2019,13.1,Total
Czechia,2019,14.9,Total
Czechia,2019,15.7,Total
Denmark,1987,16.6,Total
Denmark,1994,16.7,Total
Denmark,1994,16.9,Total
Denmark,1994,14.9,Total
Denmark,2000,23.9,Female
Denmark,2000,26.4,Female
Denmark,2000,26.5,Female
Denmark,2000,26.3,Female
Denmark,2000,27.8,Female
Denmark,2000,27.6,Female
Denmark,2000,28.6,Female
Denmark,2000,29.4,Female
Denmark,2000,27.7,Female
Denmark,2005,27.6,Female
Denmark,2005,29.4,Female
Denmark,2005,28.4,Female
Denmark,2005,30.4,Total
Denmark,2005,34.4,Total
Denmark,2005,34.1,Total
Denmark,2005,33.6,Total
Denmark,2005,35.7,Total
Denmark,2005,35.3,Total
Denmark,2010,36.2,Total
Denmark,2010,37.1,Total
Denmark,2010,36.1,Total
Denmark,2010,35.1,Total
Denmark,2010,36.2,Total
Denmark,2010,35.3,Total
Denmark,2010,42.5,Male
Denmark,2010,50.7,Male
Denmark,2010,51.1,Male
Denmark,2013,51.6,Male
Denmark,2013,55.2,Male
Denmark,2013,56.3,Male
Denmark,2013,58.6,Male
Denmark,2013,61.8,Male
Denmark,2013,61.9,Male
Denmark,2013,59.3,Male
Denmark,2013,60.7,Male
Denmark,2013,58.1,Male
Denmark,2014,6.4,Male
Denmark,2014,8.7,Male
Denmark,2014,10,Male
Denmark,2017,11.1,Male
Denmark,2017,11.8,Male
Denmark,2017,12.9,Male
Denmark,2017,15.1,Male
Denmark,2017,16.9,Male
Denmark,2017,17.5,Male
Denmark,2017,17.1,Male
Denmark,2017,17.5,Male
Denmark,2017,15.5,Male
Denmark,2021,31.2,Female
Denmark,2021,35.3,Female
Denmark,2021,37.2,Female
Denmark,2021,38.6,Female
Denmark,2021,41.2,Female
Denmark,2021,40.9,Female
Denmark,2021,43.4,Female
Denmark,2021,43.8,Female
Denmark,2021,43.4,Female
Estonia,1990,43.8,Female
Estonia,1990,45.6,Female
Estonia,1990,42.7,Female
Estonia,1990,7.3,Female
Estonia,1990,8.9,Female
Estonia,1990,10.7,Female
Estonia,1990,12.3,Female
Estonia,1990,13.5,Female
Estonia,1990,13.4,Female
Estonia,1992,14.7,Female
Estonia,1992,14.4,Female
Estonia,1992,15.6,Female
Estonia,1992,16.3,Female
Estonia,1992,16.2,Female
Estonia,1992,14.3,Female
Estonia,1992,36.1,Male
Estonia,1992,42,Male
Estonia,1992,41.1,Male
Estonia,1994,40.5,Male
Estonia,1994,43.5,Male
Estonia,1994,43.5,Male
Estonia,1994,43.6,Male
Estonia,1994,44.9,Male
Estonia,1994,44.4,Male
Estonia,1994,42.7,Male
Estonia,1994,43.1,Male
Estonia,1994,42.7,Male
Estonia,1996,57.6,Total
Estonia,1996,41.9,Total
Estonia,1996,43.9,Total
Estonia,1996,41.4,Total
Estonia,1996,40.8,Total
Estonia,1996,41.9,Total
Estonia,1996,42.6,Total
Estonia,1996,43.2,Total
Estonia,1996,46.5,Total
Estonia,1998,49.6,Total
Estonia,1998,48.6,Total
Estonia,1998,48.9,Total
Estonia,1998,52,Total
Estonia,1998,51.7,Total
Estonia,1998,50.7,Total
Estonia,1998,51.6,Total
Estonia,1998,52.7,Total
Estonia,1998,19.4,Total
Estonia,2000,12.6,Total
Estonia,2000,11.5,Total
Estonia,2000,11.8,Total
Estonia,2000,13.6,Total
Estonia,2000,14.1,Total
Estonia,2000,13.7,Total
Estonia,2000,14.5,Total
Estonia,2000,15.9,Total
Estonia,2000,18,Total
Estonia,2002,16.9,Total
Estonia,2002,19,Total
Estonia,2002,19.5,Total
Estonia,2002,19.2,Total
Estonia,2002,19.1,Total
Estonia,2002,20.5,Total
Estonia,2002,21,Total
Estonia,2002,26.4,Female
Estonia,2002,33.3,Total
Estonia,2004,35.7,Female
Estonia,2004,24.9,Female
Estonia,2004,29.7,Female
Estonia,2004,26.1,Female
Estonia,2004,24.2,Female
Estonia,2004,25.5,Female
Estonia,2004,26.1,Female
Estonia,2004,26.2,Female
Estonia,2004,26.1,Female
Estonia,2006,26.3,Female
Estonia,2006,28.4,Female
Estonia,2006,25.6,Female
Estonia,2006,28.2,Female
Estonia,2006,27.3,Female
Estonia,2006,26,Female
Estonia,2006,25.3,Female
Estonia,2006,26.7,Female
Estonia,2006,51.3,Total
Estonia,2008,18.5,Female
Estonia,2008,38.2,Total
Estonia,2008,29.3,Total
Estonia,2008,32.4,Total
Estonia,2008,29.6,Total
Estonia,2008,27.2,Total
Estonia,2008,27.8,Total
Estonia,2008,28.9,Total
Estonia,2008,28.7,Total
Estonia,2010,30.6,Total
Estonia,2010,31.6,Total
Estonia,2010,31.7,Total
Estonia,2010,29.9,Total
Estonia,2010,32.5,Total
Estonia,2010,32.5,Total
Estonia,2010,31.6,Total
Estonia,2010,31.1,Total
Estonia,2010,31.7,Total
Estonia,2012,18,Total
Estonia,2012,40.7,Male
Estonia,2012,57.6,Male
Estonia,2012,44.8,Male
Estonia,2012,43.1,Male
Estonia,2012,42.6,Male
Estonia,2012,43.1,Male
Estonia,2012,43.3,Male
Estonia,2012,45.4,Male
Estonia,2014,45.9,Male
Estonia,2014,52.2,Male
Estonia,2014,56.3,Male
Estonia,2014,53.6,Male
Estonia,2014,54.5,Male
Estonia,2014,57.9,Male
Estonia,2014,59.9,Male
Estonia,2014,60.9,Male
Estonia,2014,62.6,Male
Estonia,2014,61,Male
Estonia,2014,58.1,Male
Estonia,2014,17.4,Male
Estonia,2014,16,Male
Estonia,2014,10.8,Male
Estonia,2014,7.1,Male
Estonia,2014,8.9,Male
Estonia,2014,11.9,Male
Estonia,2014,12.3,Male
Estonia,2016,12.5,Male
Estonia,2016,14,Male
Estonia,2016,14.9,Male
Estonia,2016,17.5,Male
Estonia,2016,17,Male
Estonia,2016,18.6,Male
Estonia,2016,18.9,Male
Estonia,2016,19.8,Male
Estonia,2016,21.2,Male
